アタフタ,-1,-1,10,オノマトペ,*,*,*,*,*,アタフタ,アタフタ,アタフタ
あつあつ,-1,-1,10,オノマトペ,*,*,*,*,*,あつあつ,アツアツ,アツアツ
あっさり,-1,-1,10,オノマトペ,*,*,*,*,*,あっさり,アッサリ,アッサリ
いがいが,-1,-1,10,オノマトペ,*,*,*,*,*,いがいが,イガイガ,イガイガ
いじいじ,-1,-1,10,オノマトペ,*,*,*,*,*,いじいじ,イジイジ,イジイジ
いちゃいちゃ,-1,-1,10,オノマトペ,*,*,*,*,*,いちゃいちゃ,イチャイチャ,イチャイチャ
イライラ,-1,-1,10,オノマトペ,*,*,*,*,*,イライラ,イライラ,イライラ
ウキー,-1,-1,10,オノマトペ,*,*,*,*,*,ウキー,ウキー,ウキー
ウキウキ,-1,-1,10,オノマトペ,*,*,*,*,*,ウキウキ,ウキウキ,ウキウキ
うじゃうじゃ,-1,-1,10,オノマトペ,*,*,*,*,*,うじゃうじゃ,ウジャウジャ,ウジャウジャ
うっかり,-1,-1,10,オノマトペ,*,*,*,*,*,うっかり,ウッカリ,ウッカリ
うとうと,-1,-1,10,オノマトペ,*,*,*,*,*,うとうと,ウトウト,ウトウト
うるうる,-1,-1,10,オノマトペ,*,*,*,*,*,うるうる,ウルウル,ウルウル
うろうろ,-1,-1,10,オノマトペ,*,*,*,*,*,うろうろ,ウロウロ,ウロウロ
うえーん,-1,-1,10,オノマトペ,*,*,*,*,*,うえーん,ウエーン,ウエーン
えーん,-1,-1,10,オノマトペ,*,*,*,*,*,えーん,エーン,エーン
オギャーオギャー,-1,-1,10,オノマトペ,*,*,*,*,*,オギャーオギャー,オギャーオギャー,オギャーオギャー
おどおど,-1,-1,10,オノマトペ,*,*,*,*,*,おどおど,オドオド,オドオド
カーカー,-1,-1,10,オノマトペ,*,*,*,*,*,カーカー,カーカー,カーカー
グワッグワッ,-1,-1,10,オノマトペ,*,*,*,*,*,グワッグワッ,グワッグワッ,グワッグワッ
ガーガー,-1,-1,10,オノマトペ,*,*,*,*,*,ガーガー,ガーガー,ガーガー
ガオー,-1,-1,10,オノマトペ,*,*,*,*,*,ガオー,ガオー,ガオー
パシャ,-1,-1,10,オノマトペ,*,*,*,*,*,パシャ,パシャ,パシャ
カシャ,-1,-1,10,オノマトペ,*,*,*,*,*,カシャ,カシャ,カシャ
カタカタ,-1,-1,10,オノマトペ,*,*,*,*,*,カタカタ,カタカタ,カタカタ
ガタガタ,-1,-1,10,オノマトペ,*,*,*,*,*,ガタガタ,ガタガタ,ガタガタ
ガツガツ,-1,-1,10,オノマトペ,*,*,*,*,*,ガツガツ,ガツガツ,ガツガツ
がっかり,-1,-1,10,オノマトペ,*,*,*,*,*,がっかり,ガッカリ,ガッカリ
ガヤガヤ,-1,-1,10,オノマトペ,*,*,*,*,*,ガヤガヤ,ガヤガヤ,ガヤガヤ
カラカラ,-1,-1,10,オノマトペ,*,*,*,*,*,カラカラ,カラカラ,カラカラ
ガラガラ,-1,-1,10,オノマトペ,*,*,*,*,*,ガラガラ,ガラガラ,ガラガラ
カリカリ,-1,-1,10,オノマトペ,*,*,*,*,*,カリカリ,カリカリ,カリカリ
ガリガリ,-1,-1,10,オノマトペ,*,*,*,*,*,ガリガリ,ガリガリ,ガリガリ
カンカン,-1,-1,10,オノマトペ,*,*,*,*,*,カンカン,カンカン,カンカン
ガンガン,-1,-1,10,オノマトペ,*,*,*,*,*,ガンガン,ガンガン,ガンガン
キーキー,-1,-1,10,オノマトペ,*,*,*,*,*,キーキー,キーキー,キーキー
ギコギコ,-1,-1,10,オノマトペ,*,*,*,*,*,ギコギコ,ギコギコ,ギコギコ
ギザギザ,-1,-1,10,オノマトペ,*,*,*,*,*,ギザギザ,ギザギザ,ギザギザ
ギスギス,-1,-1,10,オノマトペ,*,*,*,*,*,ギスギス,ギスギス,ギスギス
キツキツ,-1,-1,10,オノマトペ,*,*,*,*,*,キツキツ,キツキツ,キツキツ
ぎっしり,-1,-1,10,オノマトペ,*,*,*,*,*,ぎっしり,ギッシリ,ギッシリ
ぎとぎと,-1,-1,10,オノマトペ,*,*,*,*,*,ぎとぎと,ギトギト,ギトギト
ギュウギュウ,-1,-1,10,オノマトペ,*,*,*,*,*,ギュウギュウ,ギュウギュウ,ギュウギュウ
きょろきょろ,-1,-1,10,オノマトペ,*,*,*,*,*,きょろきょろ,キョロキョロ,キョロキョロ
ぎょろぎょろ,-1,-1,10,オノマトペ,*,*,*,*,*,ぎょろぎょろ,ギョロギョロ,ギョロギョロ
キラキラ,-1,-1,10,オノマトペ,*,*,*,*,*,キラキラ,キラキラ,キラキラ
キリキリ,-1,-1,10,オノマトペ,*,*,*,*,*,キリキリ,キリキリ,キリキリ
ギリギリ,-1,-1,10,オノマトペ,*,*,*,*,*,ギリギリ,ギリギリ,ギリギリ
キンキン,-1,-1,10,オノマトペ,*,*,*,*,*,キンキン,キンキン,キンキン
キンコンカンコン,-1,-1,10,オノマトペ,*,*,*,*,*,キンコンカンコン,キンコンカンコン,キンコンカンコン
ぐいぐい,-1,-1,10,オノマトペ,*,*,*,*,*,ぐいぐい,グイグイ,グイグイ
グウグウ,-1,-1,10,オノマトペ,*,*,*,*,*,グウグウ,グウグウ,グウグウ
グキッ,-1,-1,10,オノマトペ,*,*,*,*,*,グキッ,グキッ,グキッ
くすくす,-1,-1,10,オノマトペ,*,*,*,*,*,くすくす,クスクス,クスクス
くちゃくちゃ,-1,-1,10,オノマトペ,*,*,*,*,*,くちゃくちゃ,クチャクチャ,クチャクチャ
ぐちゃぐちゃ,-1,-1,10,オノマトペ,*,*,*,*,*,ぐちゃぐちゃ,グチャグチャ,グチャグチャ
グツグツ,-1,-1,10,オノマトペ,*,*,*,*,*,グツグツ,グツグツ,グツグツ
ぐっすり,-1,-1,10,オノマトペ,*,*,*,*,*,ぐっすり,グッスリ,グッスリ
ぐったり,-1,-1,10,オノマトペ,*,*,*,*,*,ぐったり,グッタリ,グッタリ
くどくど,-1,-1,10,オノマトペ,*,*,*,*,*,くどくど,クドクド,クドクド
くねくね,-1,-1,10,オノマトペ,*,*,*,*,*,くねくね,クネクネ,クネクネ
グビグビ,-1,-1,10,オノマトペ,*,*,*,*,*,グビグビ,グビグビ,グビグビ
クラクラ,-1,-1,10,オノマトペ,*,*,*,*,*,クラクラ,クラクラ,クラクラ
グラグラ,-1,-1,10,オノマトペ,*,*,*,*,*,グラグラ,グラグラ,グラグラ
くるくる,-1,-1,10,オノマトペ,*,*,*,*,*,くるくる,クルクル,クルクル
ぐるぐる,-1,-1,10,オノマトペ,*,*,*,*,*,ぐるぐる,グルグル,グルグル
クンクン,-1,-1,10,オノマトペ,*,*,*,*,*,クンクン,クンクン,クンクン
グングン,-1,-1,10,オノマトペ,*,*,*,*,*,グングン,グングン,グングン
